Feature	Importances
Brasse Brännström	0.0
Brenda Blethyn	4.535380681400406e-19
Brenda Canela	1.0042670669777025e-18
Brendan Costello	8.785439039825554e-20
Brendan Gleeson	2.1963640030686287e-17
Brent Briscoe	0.0
Brian Cox	6.615955312673009e-07
Brian Dennehy	0.0
Brian Howe	1.6219232787163092e-17
Brian Markinson	0.0
Briana Corrigan	4.9303325309169834e-20
Bridget Moynahan	0.0
Brooke Smith	4.371732964371048e-21
Brooklynn Proulx	0.0
Bruce Allpress	0.0
Bruce McGill	0.0
Bruce Willis	5.145021946235373e-20
Bruno Ganz	2.516719129161131e-19
Brían F. O'Byrne	4.658822746226402e-18
Burghart Klaußner	0.0
Byun Hee-Bong	0.0
C.J. Sanders	9.20394050730207e-07
Caetano Veloso	1.7156363758862331e-19
Caio Blat	0.0
Callum Keith Rennie	5.186383711377374e-20
Cameron Bright	7.266580901052752e-21
Cameron Diaz	1.54258837543704e-17
Cara D. Briggs	1.7751260812833268e-06
Cara Seymour	3.253937765880056e-21
Carey Mulligan	4.2772652773681243e-19
Carice van Houten	0.0
Carla Gugino	4.503477290009644e-19
Carlos Andrés Gómez	3.661344883654082e-18
Carlos Blanco	0.0
Carlos Emilio Báez	0.0
Carlos Gómez	0.0
Carly Nahon	3.1138488339746226e-20
Carmen Maura	0.0
Carol Florence	0.0
Carol McGuigan	0.0
Caroline O'Connor	0.0
Carrie-Anne Moss	1.9176301674809102e-20
Cary Elwes	0.0
Casey Affleck	1.2375404344464706e-20
Cate Blanchett	0.0
Caterina Murino	8.106534850126413e-18
Catherine Deneuve	1.2884382255207812e-20
Catherine Keener	1.1976414814741684e-07
Catherine Zeta-Jones	3.9833986476610865e-18
Cecelia Ann Birt	3.8621142002870196e-18
Cedric The Entertainer	7.670801196028634e-05
Celso Bugallo	0.0
Chad Lindberg	1.3909694332814123e-05
Chadwick Boseman	4.465452115000427e-07
Chang Chen	3.0706166947713203e-18
Chang Xiao Yang	1.0298150944667759e-18
Chantal Neuwirth	9.760237908764674e-19
Charles Berling	0.0
Charles Durning	1.3433626171576694e-19
Charles Techman	5.425667430945758e-19
Charley Ramm	3.017019836918411e-07
Charlotte Gainsbourg	2.7209408024014636e-07
Charly Hübner	4.530618173936958e-19
Chia-Hui Liu	0.0
Chiaki Kuriyama	0.0
Chieko Baishô	8.92819605785862e-06
Chiwetel Ejiofor	1.9688582243413002e-18
Chloë Sevigny	5.1913869085302014e-21
Choi Min-sik	1.7162863709537498e-21
Chow Yun-Fat	4.6990678667730204e-18
Chris Cooper	1.948715630228598e-18
Chris Larkin	5.082671564312157e-07
Chris Miller	1.2767080643933863e-17
Chris Thomas King	0.0
Chris Waitt	4.3174170000161615e-19
Christian Bale	2.1862213073327982e-17
Christian Berkel	0.0
Christine Schorn	0.0
Christoph Waltz	9.178813353202866e-18
Christopher Adamson	9.658816996476645e-20
Christopher Dunne	0.0
Christopher Eccleston	4.373070773506947e-19
Christopher Lee	1.1864179864819975e-17
Christopher McDonald	0.0
Christopher Meloni	0.0
Christopher Plummer	4.6557282785075945e-18
Christopher Walken	3.1557855653703894e-18
Chulpan Khamatova	0.0
Chus Lampreave	0.0
Ciarán Hinds	6.257530824121683e-19
Cillian Murphy	0.0
Cindy Waite	0.0
Claire Maurier	8.83277550616428e-19
Claire Pakis	5.1900453645199074e-20
Claire Selby	2.2195458537004782e-20
Clara Segura	0.0
Clark Gregg	5.506888834255044e-05
Claudie Blakley	8.271103597246726e-19
Claudine Acs	0.0
Cleo King	0.0
Cliff Curtis	1.1944442078962086e-06
Clifton Powell	0.0
Clint Eastwood	6.366038372589518e-18
Clive Owen	3.91665307794114e-18
Clive Pearse	1.5701449481803227e-17
Clotilde Mollet	5.36477335464201e-18
Colin Farrell	0.0
Colin Firth	1.1893301037632537e-18
Connie Nielsen	1.288927026655649e-17
Connor Price	2.7537524750217896e-22
Constance Jones	0.0
Corbin Bernsen	0.0
Corey Johnson	1.637519314226823e-20
Corinna Harfouch	0.0
Cornelia Köndgen	0.0
Craig Bierko	1.7458501661538207e-21
Craig Kirkwood	2.9163542664321745e-06
Craig Spidle	5.749068639681674e-19
Craig T. Nelson	0.0
Csaba Pindroch	0.0
Curtis Armstrong	3.6933507337409456e-19
César Vea	2.583061690709467e-19
Daijirô Harada	0.0
Dakota Fanning	6.253197085438206e-19
Dalia Hernández	8.527463639697885e-19
Dallas Roberts	7.424955479292106e-21
Damian Lewis	3.9893017175502524e-18
Damian O'Hare	1.6068225162482915e-18
Damien Kearney	0.0
Dan Birnbaum	0.0
Dan Castellaneta	0.0
Dan John Miller	1.623183509754324e-20
Daniel Brühl	2.678839418606031e-18
Daniel Craig	2.69203985638281e-17
Daniel Day-Lewis	5.170194645396903e-19
Daniel Gerson	7.476697897491049e-20
Daniel Gillies	4.11623433102236e-05
Daniel Giménez Cacho	6.446714897471138e-20
Daniel London	1.1061434202723063e-20
Daniel Mays	5.4788275520295954e-21
Daniel Radcliffe	8.18964558202557e-18
Danny Glover	1.8250052763982877e-18
Danny Huston	6.683581636079478e-08
Danny Kwok-Kwan Chan	1.1479948815945166e-18
Dany Boon	0.0
Daoming Chen	2.325105952787508e-18
Daryl Hannah	9.06140606164363e-08
Darío Grandinetti	7.73494646112611e-20
Dash Mihok	0.0
Dato Bakhtadze	2.545591862864766e-06
Dave Legeno	3.415772144314605e-19
Dave Trimble	3.0779115988246233e-18
Daveigh Chase	6.9341564537233725e-18
David Alan Basche	1.4597979181229363e-19
David Allen Brooks	0.0
David Aston	1.7056828189660622e-18
David Calder	1.5864192919098069e-18
David Carradine	3.073612926150105e-20
David Cross	1.5892073370542042e-17
David Denman	1.4948271676086962e-19
David Harewood	7.890635338005138e-19
David Huband	4.62263748719225e-21
David Morse	3.259537494679283e-20
David Oyelowo	1.6212341561068956e-19
David Schneider	0.0
David Schofield	6.5156179210947456e-18
David Shumbris	0.0
David Strathairn	6.737633610090493e-06
David Tennant	9.467579702587153e-19
David Wenham	8.060215651482478e-18
Davor Janjic	0.0
Dawn Ford	5.017445093319176e-08
Dawn French	3.0416159618685774e-19
Dayashankar Pandey	0.0
Del Pentecost	3.3976602204337174e-07
Delaney Rose Stein	1.5509856650783303e-17
Deming Wang	5.050586854711403e-18
Denis Evrard	1.0984164938267681e-20
Denis Leary	0.0
Denzel Washington	4.165841505773931e-18
Denzel Whitaker	5.618330069052564e-21
Derek Jacobi	7.643911504031865e-18
Derek de Lint	0.0
Desmond Dube	0.0
Devon Aoki	0.0
Devyn A. Tyler	0.0
Diabolo	0.0
Diane Kruger	2.4357240531450125e-18
Diane Ladd	1.5649078122621591e-19
Dianne Wiest	9.24082528939561e-07
Diedrich Bader	1.611994353617206e-17
Diego Luna	5.0703296281925583e-20
Dimple Kapadia	0.0
Dina Meyer	0.0
Dirk Denoyelle	0.0
Divya Dutta	0.0
Djimon Hounsou	3.3231165520082383e-18
Dolf de Vries	2.9767594057168955e-22
Domhnall Gleeson	7.95746628416637e-21
Dominic West	1.058232172906467e-17
Dominique Bettenfeld	9.78768538712224e-19
Dominique Louis	7.364317418833086e-19
Dominique Michel	0.0
Dominique Pinon	2.7659292889742046e-18
Don Cheadle	5.6540730923162715e-19
Don Rickles	2.0561305358058204e-05
Donald Faison	8.974761684885654e-19
Donald Sutherland	1.8116852129513633e-18
Donna Duplantier	4.4375190937390915e-18
Donna Murphy	0.0001139401510850149
Donnie Wahlberg	4.207696780315245e-18
Donnie Yen	1.0965075807537978e-18
Dorian Missick	0.0
Dorothée Berryman	7.466023930176007e-11
Doug Jones	1.7895498095522966e-19
Douglas Silva	2.814436374991626e-20
Dr. Dre	0.0
Dustin Bollinger	3.503128157836527e-21
Dustin Hoffman	2.851826099408714e-17
Dylan Baker	0.0
Dylan Moran	3.218979205469794e-20
Earl Maddox	6.693155672061563e-18
Ed Grady	0.0
Ed Harris	8.673483792658227e-18
Ed Metzger	1.8484328453475183e-18
Ed Stoppard	0.0
Eddie Cahill	3.7756832865395913e-07
Eddie Marsan	1.7542413785287288e-19
Eddie Murphy	2.829992673082592e-17
Edgar Ramírez	1.2558903735151707e-17
Edi Gathegi	2.3101708601985724e-21
Edward Norton	2.2362306045834484e-19
Edward Woodall	0.0
Elarica Johnson	1.4985668124441058e-18
Elden Henson	3.854838934723632e-19
Eleanor Tomlinson	0.0
Elham Ehsas	0.0
Eli Fucile	4.931206168759514e-19
Eli Roth	0.0
Elias Koteas	9.278052557601113e-18
Elijah Wood	6.193793991478385e-06
Elina Alminas	0.0
Ellen Burstyn	0.0
Ellen DeGeneres	2.4791649614135674e-17
Ellen Wong	2.2759690360686767e-21
Emerson Gomes	3.207554135688689e-20
Emilia Fox	8.90250103709283e-07
Emilio Echevarría	1.95507911702159e-21
Emilio Rivera	2.1246872473920143e-18
Emily Mortimer	0.0
Emma Campbell	0.0
Emma Thompson	1.2061897185681494e-18
Emma Watson	3.472926241027619e-17
Emmanuelle Seigner	4.205925475023623e-08
Emmy Rossum	6.874119143162136e-19
Enrique Diaz	0.0
Eri Ishikawa	1.3544391014180745e-07
Eric Bana	8.076353570304931e-19
Eric Chase Anderson	0.0
Eric Haberman	3.267472556379319e-21
Eric Mason	5.431037424937741e-19
Eric Sykes	1.1536104957916996e-18
Eric Uys	8.948456195537511e-08
Erina Hashiguchi	1.1913033354167128e-20
Ernesto Arias	0.0
Esko Salminen	0.0
Estelle Harris	0.0
Eszter Balla	0.0
Ethan Hawke	2.70158651411635e-19
Ethan Suplee	9.792294231873387e-19
Eva Green	0.0
Eva Mattes	1.8362131106427165e-20
Ewan McGregor	0.0
Ewen Bremner	1.384690240267557e-06
Fairuza Balk	0.0
Faran Tahir	0.0
Faune Chambers Watkins	2.5637452844666113e-18
Fazeng Li	9.840561569823143e-18
Filip Sovagovic	0.0
Fiona Shaw	2.156001105065767e-17
Fiorello	0.0
Florian Lukas	0.0
Forest Whitaker	1.0959609445097897e-06
Frances Fisher	0.0
Frances McDormand	0.0
Francesc Albiol	7.707476957205202e-19
Francesc Garrido	1.3488717420753641e-20
Frank Bourke	0.0
Frank Finlay	9.61409200276889e-19
Frank John Hughes	0.0
Frank Oz	1.9161909678022548e-19
Franka Potente	8.048054883160816e-18
Freddie Highmore	6.70200303090751e-19
Gabo Correa	0.0
Gabriel Casseus	0.0
Gabriel Mann	9.921511692689549e-09
Gabriel Thomson	0.0
Gael García Bernal	6.128743195488901e-19
Gana Bayarsaikhan	7.600059706644798e-21
Garret Dillahunt	2.4601499643267083e-18
Garry McDonald	0.0
Gary Commock	0.0
Gary Lewis	1.6498951325983561e-22
Gary Oldman	1.2471927928377896e-17
Gaspard Ulliel	0.0
Gastón Pauls	0.0
Gautam Belur	1.9478367853453007e-17
Gavin Ferguson	1.0777564779209188e-20
Gayatri Joshi	0.0
Gedeon Burkhard	5.6133064090449954e-18
Gena Rowlands	0.0
Gene Hackman	1.2720118149700375e-20
Geoffrey Rush	8.396716035540618e-19
Georg Friedrich	1.5097690663989021e-22
George Cheung	5.473502477525797e-18
George Clooney	3.034915108402418e-18
George Loftus	4.4123776975122617e-07
George Selick	5.069122540026241e-19
Georges Bousquet	0.0
Georges Siatidis	2.319436742834287e-20
Geraldine Chaplin	2.4446381524250823e-19
Geraldine McEwan	2.2067855881301496e-18
Geraldine Somerville	2.1145302352681544e-18
Gerard Butler	0.0
Gerardo Campbell	0.0
Gerardo Taracena	8.039878396627613e-19
Germaine Charest	0.0
Gerry Robert Byrne	1.8178289783029926e-19
Gi Ju-bong	0.0
Giancarlo Giannini	1.4024727021014718e-17
Gila Almagor	3.0566862265093313e-19
Giles New	0.0
Gillian Anderson	0.0
Gina Ravera	0.0
Gina Torres	0.0
Ginnifer Goodwin	1.782622754734278e-21
Giovanni Ribisi	0.0
Giselle Audirac	4.987459338465367e-20
Gonzalo Cunill	1.032441198706122e-18
Goran Visnjic	7.547503560374667e-18
Goya Toledo	0.0
Graciela Tenenbaum	0.0
Gracy Singh	0.0
