category,employee,runtimeMinutes,ProductionCompanies
actor,Steve Buscemi,90,Dimension Films
actor,Nicolas Cage,115,"Beverly Detroit, Propaganda Films, Clinica Estetico, Intermedia, Good Machine, Magnet Productions"
actor,Nicolas Cage,134,"Lion Rock Productions, Metro-Goldwyn-Mayer (MGM)"
actor,Nicolas Cage,88,"Playtone, Warner Bros., Legendary Entertainment, DNA Productions"
actor,Nicolas Cage,129,"Paramount Pictures, Double Feature Films, Intermedia Films, Kernos Filmproduktionsgesellschaft & Company"
actor,Nicolas Cage,116,"Saturn Films, Scott Free Productions, Rickshaw Productions, Warner Bros., LivePlanet, ImageMovers, HorsePower Entertainment"
actor,Nicolas Cage,96,"Paramount Pictures, Virtual Studios, Revolution Studios, Saturn Films, Broken Road Productions"
actor,Nicolas Cage,131,"Walt Disney Pictures, Jerry Bruckheimer Films, Saturn Films, Junction Entertainment"
actor,Nicolas Cage,124,"Walt Disney Pictures, Jerry Bruckheimer Films, Saturn Films, Junction Entertainment, Sparkler Entertainment, NT2 Productions"
producer,James Cameron,99,"Twentieth Century Fox Film Corporation, Lightstorm Entertainment"
actress,Neve Campbell,99,Millennium Films
writer,John Carpenter,109,"Dimension Films, Spectacle Entertainment Group, Nightfall Productions"
director,John Carpenter,98,"Screen Gems, Storm King Productions, Animationwerks"
writer,John Carpenter,90,Dimension Films
writer,John Carpenter,98,"Screen Gems, Storm King Productions, Animationwerks"
actress,Tia Carrere,85,"Walt Disney Pictures, Walt Disney Feature Animation"
actor,Jim Carrey,152,"Village Roadshow Pictures, Castle Rock Entertainment, NPV Entertainment, Darkwoods Productions"
actor,Jim Carrey,86,"Twentieth Century Fox Film Corporation, Blue Sky Studios, Twentieth Century Fox Animation"
actor,Jim Carrey,90,"Imagine Entertainment, Columbia Pictures Corporation, JC 23 Entertainment"
actor,Jim Carrey,108,"Anonymous Content, This Is That Productions, Focus Features"
actor,Jim Carrey,101,"Universal Pictures, Spyglass Entertainment, Shady Acres Entertainment, Pit Bull Productions"
actor,George Clooney,99,"Twentieth Century Fox Film Corporation, Lightstorm Entertainment"
actor,George Clooney,87,"Twentieth Century Fox Film Corporation, Regency Enterprises, Indian Paintbrush, American Empirical Pictures"
actor,George Clooney,128,"Section Eight, Warner Bros., Participant Media, FilmWorks, 4M, MID Foundation"
actor,George Clooney,105,"Warner Bros., Section Eight Productions, Sunset Gower Studios"
actor,George Clooney,125,"Village Roadshow Pictures, Section Eight, Jerry Weintraub Productions, Warner Bros., WV Films III"
actor,George Clooney,119,"Castle Rock Entertainment, Mirage Enterprises, Section Eight Productions"
actor,George Clooney,106,"Universal Pictures, Mike Zoss Productions, Working Title Films"
actor,George Clooney,100,"Imagine Entertainment, Universal Pictures, Mike Zoss Productions, Alphaville Productions"
actor,George Clooney,113,"Miramax Films, Allied Filmmakers, Mad Chance"
actor,George Clooney,116,"Village Roadshow Pictures, Section Eight, NPV Entertainment, Jerry Weintraub Productions, Warner Bros., WV Films II"
director,George Clooney,113,"Miramax Films, Allied Filmmakers, Mad Chance"
actress,Jennifer Connelly,135,"Imagine Entertainment, DreamWorks SKG, Universal Pictures"
actress,Jennifer Connelly,137,"New Line Cinema, Standard Film Company, Bona Fide Productions"
actress,Jennifer Connelly,79,"Focus Films, Starz Animation, Relativity Media, Tim Burton Productions, Arc Productions"
actress,Jennifer Connelly,138,"Universal Pictures, Good Machine, Valhalla Motion Pictures, Marvel Enterprises"
actress,Jennifer Connelly,126,"DreamWorks SKG, Cobalt Media Group, Bisgrove Entertainment"
