category,employee,runtimeMinutes,ProductionCompanies
actor,Lukas Haas,110,Bergman Lustig productions
actor,Philip Baker Hall,101,"Universal Pictures, Spyglass Entertainment, Shady Acres Entertainment, Pit Bull Productions"
actor,Philip Baker Hall,90,"Platinum Dunes, Dimension Films, Metro-Goldwyn-Mayer (MGM), Radar Pictures"
actor,Philip Baker Hall,124,"Paramount Pictures, Mace Neufeld Productions, MFP Munich Film Partners GmbH & Company I. Produktions KG, S.O.A.F. Productions, Mel's Cite du Cinema"
actor,George Hamilton,112,DreamWorks SKG
actor,John Hannah,130,"Universal Pictures, Alphaville Films, Imhotep Productions"
actress,Marcia Gay Harden,117,"Columbia Pictures, Revolution Studios"
actress,Marcia Gay Harden,113,Paramount Pictures
actress,Marcia Gay Harden,138,"Village Roadshow Pictures, Malpaso Productions, NPV Entertainment, Warner Bros."
director,Renny Harlin,114,"Morgan Creek Productions, Dominion Productions"
actor,Mark Harmon,97,"Walt Disney Pictures, Gunn Films, Casual Friday Productions"
actor,Josh Hartnett,183,"Jerry Bruckheimer Films, Touchstone Pictures"
actor,Josh Hartnett,116,"Columbia Pictures, Revolution Studios"
actor,Josh Hartnett,114,"Lakeshore Entertainment, Metro-Goldwyn-Mayer (MGM), Mel's Cite du Cinema"
actor,David Hasselhoff,107,"Original Film, Columbia Pictures Corporation, Revolution Studios, Happy Madison Productions"
director,Todd Haynes,107,Clear Blue Sky Productions
director,Todd Haynes,135,"Endgame Entertainment, Rising Star, Killer Films, John Wells Productions, Dreamachine, Film & Entertainment VIP Medienfonds 4 GmbH & Co. KG (I), Grey Water Park Productions, John Goldwyn Productions, Wells Productions"
actor,John Heard,126,"The Weinstein Company, Harpo Films, Marshall Production"
actor,John Heard,109,"Columbia Pictures, Revolution Studios, Wayans Bros. Entertainment, Gone North Productions"
archive_footage,Tippi Hedren,66,Moviehead Pictures
actress,Katherine Heigl,90,Zyzzyx LLC
actress,Katherine Heigl,129,"Universal Pictures, Apatow Productions"
producer,Brian Helgeland,132,"Columbia Pictures Corporation, Escape Artists, Black and Blu Entertainment, Finestkind"
director,Brian Helgeland,132,"Columbia Pictures Corporation, Escape Artists, Black and Blu Entertainment, Finestkind"
writer,Brian Helgeland,109,Universal Pictures
writer,Brian Helgeland,110,"Malpaso Productions, Warner Bros."
actor,Edward Herrmann,100,"Imagine Entertainment, Universal Pictures, Mike Zoss Productions, Alphaville Productions"
actor,Werner Herzog,104,"Eleven Eleven Films, Insomnia Media Group, IMG Film 7"
writer,Werner Herzog,125,Metro-Goldwyn-Mayer (MGM)
actress,Jennifer Love Hewitt,123,"Davis Entertainment, Metro-Goldwyn-Mayer (MGM)"
actress,Jennifer Love Hewitt,80,"Twentieth Century Fox Film Corporation, Davis Entertainment, Twentieth Century Fox Animation"
actress,Jennifer Love Hewitt,94,"Fathom Studios, Electric Eye Entertainment Corporation"
writer,Walter Hill,94,"Miramax Films, Amen Ra Films"
director,Walter Hill,94,"Miramax Films, Amen Ra Films"
actor,Ciarán Hinds,132,Walt Disney Pictures
actor,Ciarán Hinds,158,"Miramax Films, Ghoulardi Film Company, Paramount Vantage"
actor,Ciarán Hinds,117,"DreamWorks SKG, The Zanuck Company, Twentieth Century Fox Film Corporation"
actor,Hal Holbrook,152,"Village Roadshow Pictures, Castle Rock Entertainment, NPV Entertainment, Darkwoods Productions"
writer,Tobe Hooper,98,"New Line Cinema, Next Entertainment, Platinum Dunes, Focus Features, Radar Pictures, Chainsaw Productions LLC"
actor,Bob Hoskins,99,"Regency Enterprises, Epsilon Motion Pictures, New Regency Pictures"
actor,C. Thomas Howell,93,Asylum
actress,Bonnie Hunt,98,"Twentieth Century Fox Film Corporation, Robert Simonds Productions"
actress,Bonnie Hunt,94,"Twentieth Century Fox Film Corporation, 21 Laps Entertainment, Dozen Canada Productions"
actress,Bonnie Hunt,116,"Walt Disney Pictures, Pixar Animation Studios"
actress,Anjelica Huston,110,Touchstone Pictures
actress,Anjelica Huston,92,"Columbia Pictures, Revolution Studios, Davis Entertainment"
actress,Anjelica Huston,110,"Malpaso Productions, Warner Bros."
actress,Anjelica Huston,119,"Touchstone Pictures, American Empirical Pictures"
actor,David Hyde Pierce,95,"Conundrum Entertainment, Warner Bros. Animation, Warner Bros."
actor,David Hyde Pierce,101,"Miramax Films, Populist Pictures, Monophonic Inc."
actor,David Hyde Pierce,97,Eureka Pictures
actor,Eric Idle,93,"DreamWorks SKG, DreamWorks Animation"
actor,Eric Idle,94,"Fathom Studios, Electric Eye Entertainment Corporation"
actress,Amy Irving,101,"Twentieth Century Fox Film Corporation, Fox 2000 Pictures, Josephson Entertainment, MBC Beteiligungs Filmproduktion"
actress,Amy Irving,90,Walt Disney Pictures
actor,Chris Isaak,89,"Fine Line Features, Killer Films, John Wells Productions, This Is That Productions"
actor,Derek Jacobi,106,"Lakeshore Entertainment, Screen Gems"
actress,Angelina Jolie,92,DreamWorks Animation
actress,Angelina Jolie,103,"Village Roadshow Pictures, Atmosphere Entertainment MM, Warner Bros."
actress,Angelina Jolie,90,"DreamWorks SKG, Pacific Data Images (PDI), DreamWorks Animation"
actress,Angelina Jolie,167,"Universal Pictures, American Zoetrope, Morgan Creek Productions"
actress,Angelina Jolie,100,"Paramount Pictures, Toho-Towa, Mutual Film Company, Lawrence Gordon Productions, British Broadcasting Corporation (BBC), Marubeni, Eidos Interactive"
actress,Angelina Jolie,120,"Weed Road Pictures, Summit Entertainment, Regency Enterprises, Epsilon Motion Pictures, New Regency Pictures"
actress,Angelina Jolie,115,"Paramount Pictures, Shangri-La Entertainment, ImageMovers, Paramount Animation"
cinematographer,Janusz Kaminski,122,"Lucasfilm, Paramount Pictures"
cinematographer,Janusz Kaminski,128,"DreamWorks SKG, Amblin Entertainment, Parkes/MacDonald Productions"
cinematographer,Janusz Kaminski,117,"Paramount Pictures, DreamWorks SKG, Cruise/Wagner Productions, Amblin Entertainment"
cinematographer,Janusz Kaminski,145,"DreamWorks SKG, Cruise/Wagner Productions, Amblin Entertainment, Twentieth Century Fox Film Corporation, Blue Tulip Productions, Ronald Shusett/Gary Goldman, Digital Image Associates"
cinematographer,Janusz Kaminski,146,"DreamWorks SKG, Amblin Entertainment, Stanley Kubrick Productions, Warner Bros."
actor,Tchéky Karyo,103,"Village Roadshow Pictures, Atmosphere Entertainment MM, Warner Bros."
writer,Lawrence Kasdan,134,"Village Roadshow Pictures, Castle Rock Entertainment, NPV Entertainment, Kasdan Pictures, WV Films II"
director,Lawrence Kasdan,134,"Village Roadshow Pictures, Castle Rock Entertainment, NPV Entertainment, Kasdan Pictures, WV Films II"
actress,Julie Kavner,107,"Original Film, Columbia Pictures Corporation, Revolution Studios, Happy Madison Productions"
actress,Julie Kavner,87,"Gracie Films, Twentieth Century Fox Film Corporation"
actress,Catherine Keener,112,"Elevation Filmworks, Initial Entertainment Group (IEG), IFC Productions, Jack and Rose Productions"
actress,Catherine Keener,116,"Universal Pictures, Apatow Productions"
actress,Catherine Keener,124,Likely Story
actress,Catherine Keener,101,"Miramax Films, Populist Pictures, Monophonic Inc."
actress,Catherine Keener,88,Sony Pictures
actress,Catherine Keener,101,"Village Roadshow Pictures, Legendary Pictures, Playtone, Wild Things Productions, Warner Bros."
actor,David Keith,103,"New Line Cinema, FilmEngine, Brookwell-McNamara Entertainment, ChickFlick Productions"
actor,David Keith,106,"Twentieth Century Fox Film Corporation, Davis Entertainment"
actor,Richard Kiel,100,"Walt Disney Pictures, Walt Disney Animation Studios"
actor,Udo Kier,109,"Dimension Films, Spectacle Entertainment Group, Nightfall Productions"
actor,Udo Kier,91,"DreamWorks SKG, LivePlanet, Tall Trees Productions"
actor,Udo Kier,95,Boll KG
actor,Ben Kingsley,90,Walt Disney Pictures
actor,Ben Kingsley,116,"Walt Disney Pictures, Jerry Bruckheimer Films"
actor,Ben Kingsley,95,Boll KG
actor,Ben Kingsley,126,"DreamWorks SKG, Cobalt Media Group, Bisgrove Entertainment"
actor,Greg Kinnear,113,Paramount Pictures
actor,Greg Kinnear,118,"Twentieth Century Fox Film Corporation, Conundrum Entertainment"
actor,Greg Kinnear,85,Rick Lashbrook Films
actor,Greg Kinnear,97,"Fox 2000 Pictures, Lynda Obst Productions"
actor,Greg Kinnear,105,"Sony Pictures Classics, Propaganda Films, Good Machine"
actor,Greg Kinnear,101,"Fox Searchlight Pictures, Bona Fide Productions, Big Beach Films"
actor,Kris Kristofferson,96,Universal Pictures
actor,Kris Kristofferson,113,"New Line Cinema, Amen Ra Films, Shawn Danielle Productions Ltd., Imaginary Forces, Marvel Enterprises, Peter Frankfurt Productions"
actor,Kris Kristofferson,135,"Endgame Entertainment, Rising Star, Killer Films, John Wells Productions, Dreamachine, Film & Entertainment VIP Medienfonds 4 GmbH & Co. KG (I), Grey Water Park Productions, John Goldwyn Productions, Wells Productions"
actor,Kris Kristofferson,120,"Twentieth Century Fox Film Corporation, Tim Burton Productions, Zanuck Company, The"
actress,Lisa Kudrow,126,"Wendy Finerman Productions, Alcon Entertainment, Grosvenor Park Productions"
actress,Lisa Kudrow,84,Paramount Pictures
actress,Swoosie Kurtz,87,Miramax
actor,Anthony LaPaglia,103,"Castle Rock Entertainment, Darkwoods Productions, Humble Journey Films"
actor,Martin Landau,79,"Focus Films, Starz Animation, Relativity Media, Tim Burton Productions, Arc Productions"
actor,Martin Landau,152,"Village Roadshow Pictures, Castle Rock Entertainment, NPV Entertainment, Darkwoods Productions"
actor,Nathan Lane,73,"Walt Disney Pictures, Walt Disney Television Animation"
actor,Nathan Lane,134,"Sony Pictures, Gaumont Columbia Tristar Films"
actor,Nathan Lane,95,DreamWorks SKG
actor,Nathan Lane,77,"Columbia Pictures, Sony Pictures Entertainment"
actress,Jessica Lange,125,"Columbia Pictures, The Zanuck Company, Jinks/Cohen Company, Tim Burton Productions"
actor,Frank Langella,154,"DC Comics, Legendary Pictures, Warner Bros., Bad Hat Harry Productions"
actor,Frank Langella,115,"Media Rights Capital, Lin Pictures, Warner Bros., Darko Entertainment, Radar Pictures"
actress,Queen Latifah,114,"Fox Searchlight Pictures, Donners' Company, Dune Entertainment III, Overbrook Entertainment"
actress,Queen Latifah,91,"Blue Sky Studios, Twentieth Century Fox Animation"
actress,Queen Latifah,106,Metro-Goldwyn-Mayer (MGM)
actress,Queen Latifah,113,"Mandate Pictures, Three Strange Angels"
actress,Queen Latifah,105,"Hyde Park Films, Touchstone Pictures"
actress,Queen Latifah,105,Metro-Goldwyn-Mayer (MGM)
actress,Queen Latifah,112,Paramount Pictures
actress,Piper Laurie,85,Nasser Entertainment
actor,Martin Lawrence,94,Metro-Goldwyn-Mayer (MGM)
actor,Martin Lawrence,86,"Twentieth Century Fox Film Corporation, Robert Simonds Productions, Runteldat Entertainment"
actor,Martin Lawrence,99,"Twentieth Century Fox Film Corporation, Regency Enterprises, Epsilon Motion Pictures, Firm Films, Deep River Productions, New Regency Pictures, Ed Friendly Productions, Runteldat Entertainment, Big Lou House Productions"
actor,Martin Lawrence,147,"Columbia Pictures Corporation, Don Simpson/Jerry Bruckheimer Films"
actor,Martin Lawrence,86,Sony Pictures Animation
actor,James Le Gros,91,"Fox 2000 Pictures, Mad Chance, Nimbus Film Productions, Mediastream Dritte Film GmbH & Co. Beteiligungs KG, Splendid Productions"
actress,Cloris Leachman,131,"Gracie Films, Columbia Pictures Corporation"
actress,Cloris Leachman,114,New Line Cinema
actor,Denis Leary,81,"Twentieth Century Fox Film Corporation, Blue Sky Studios, Twentieth Century Fox Animation"
actor,Denis Leary,91,"Blue Sky Studios, Twentieth Century Fox Animation"
actor,Jason Scott Lee,85,"Walt Disney Pictures, Walt Disney Feature Animation"
actor,Jared Leto,112,"Hofflund/Polone, Indelible Productions"
director,Barry Levinson,123,"Cheyenne Enterprises, Epsilon Motion Pictures, Empire Pictures, Metro-Goldwyn-Mayer (MGM), Hyde Park Entertainment, Baltimore Spring Creek Productions, Lotus Pictures"
director,Barry Levinson,99,"Columbia Pictures, Castle Rock Entertainment, NPV Entertainment, DreamWorks Pictures, Baltimore Spring Creek Productions, Nu Image / Millennium Films"
actor,Barry Levinson,91,"Pacific Data Images (PDI), DreamWorks Animation, Columbus 81 Productions"
producer,Barry Levinson,99,"Columbia Pictures, Castle Rock Entertainment, NPV Entertainment, DreamWorks Pictures, Baltimore Spring Creek Productions, Nu Image / Millennium Films"
actor,Jet Li,87,"Columbia Pictures, Revolution Studios, Hard Eight Pictures, Wonder works studios entertainment group"
actor,Jet Li,101,"Silver Pictures, Warner Bros."
actress,Laura Linney,119,"Lakeshore Entertainment, Firm Films, Screen Gems"
actress,Laura Linney,119,Lakeshore Entertainment
actress,Laura Linney,138,"Village Roadshow Pictures, Malpaso Productions, NPV Entertainment, Warner Bros."
actress,Laura Linney,81,"Destination Films, Samuel Goldwyn Films, Sony Pictures International"
actor,Tom Lister Jr.,92,"Film Afrika Worldwide, Gemini Films, Motion Picture Corporation of America (MPCA), International West Pictures (IWP)"
actor,Tom Lister Jr.,123,Gener8Xion Entertainment
actor,John Lithgow,90,"DreamWorks SKG, Pacific Data Images (PDI), DreamWorks Animation"
actor,Jon Lovitz,125,"Franchise Pictures, Warner Bros., Morgan Creek Productions"
actor,Jon Lovitz,93,"Paramount Pictures, De Line Pictures, DreamWorks Pictures"
director,Sidney Lumet,117,"Capitol Films, Linsefilm, Unity Productions, Michael Cerenzie Productions, Funky Buddha Productions"
actress,Kelly Lynch,98,"Regency Enterprises, Fox 2000 Pictures, Kopelson Entertainment, Epsilon Motion Pictures, Atchity Entertainment International (AEI)"
director,Adrian Lyne,124,"Regency Enterprises, Fox 2000 Pictures, Epsilon Motion Pictures, Unfaithful Filmproduktion GmbH & Co. KG"
actress,Melanie Lynskey,91,TLA Releasing
actress,Amy Madigan,98,"Yari Film Group, Stratus Film Co."
actor,Tobey Maguire,121,"Columbia Pictures, Marvel Enterprises"
actor,Tobey Maguire,105,"Warner Bros., Section Eight Productions, Sunset Gower Studios"
actor,Tobey Maguire,139,"Columbia Pictures, Laura Ziskin Productions, Marvel Enterprises"
actor,Tobey Maguire,127,"Columbia Pictures, Laura Ziskin Productions, Marvel Enterprises"
actor,Tobey Maguire,140,"Universal Pictures, Spyglass Entertainment, The Kennedy/Marshall Company, DreamWorks Pictures, Touchstone Pictures"
actor,Tobey Maguire,87,"Village Roadshow Pictures, NPV Entertainment, Mad Chance, Zide-Perry Productions, Warner Bros., BenderSpink"
actor,John Mahoney,95,"Walt Disney Pictures, Walt Disney Feature Animation"
actress,Tina Majorino,96,"Paramount Pictures, Fox Searchlight Pictures, MTV Films, Access Films, Napoleon Pictures Limited, Carnival Films"
director,Luis Mandoki,102,"Epsilon Motion Pictures, Morgan Creek Productions, The Canton Company, AE Two Film Productions, Angel Eyes Productions"
actress,Dinah Manoff,80,"Plum Pictures, SHRINK Media Inc., Basra Entertainment"
self,Marilyn Manson,120,"Alliance Atlantis Communications, TiMe Film- und TV-Produktions GmbH, Vif Babelsberger Filmproduktion GmbH & Co. Zweite KG, Dog Eat Dog Films, Iconolatry Productions Inc., Salter Street Films International, United Broadcasting Inc."
actor,Joe Mantegna,82,First Independent Pictures
actor,Cheech Marin,118,"HighRoad Entertainment, Prelude Pictures, Lone Runner Entertainment, Kenio Films, Perfect Game, The"
actor,Cheech Marin,88,"Dimension Films, Troublemaker Studios, Miramax"
actor,Cheech Marin,100,Dimension Films
actor,Cheech Marin,99,"Columbia Pictures, 1492 Pictures, Revolution Studios"
actor,Cheech Marin,102,"Columbia Pictures Corporation, Dimension Films, Troublemaker Studios"
actor,Cheech Marin,116,"Walt Disney Pictures, Pixar Animation Studios"
director,Penny Marshall,132,Columbia Pictures
producer,Penny Marshall,102,"Columbia Pictures Corporation, Red Wagon Entertainment, Bewitched"
actor,Tim Matheson,92,"Tapestry Films, Artisan Entertainment"
actor,Joseph Mazzello,53,"Playtone, HBO, DreamWorks Television"
actor,Joseph Mazzello,83,"Seed Productions (II), Platform Entertainment"
actor,Dylan McDermott,90,"Columbia Pictures, Ghost House Pictures, Mandate Pictures, Blue Star Pictures, Screen Gems, Scarecrow Productions"
actor,Ian McDiarmid,142,Lucasfilm
actor,Ian McDiarmid,140,Lucasfilm
actor,Christopher McDonald,84,"The Weinstein Company, Open City Films, GreeneStreet Films"
actor,Christopher McDonald,97,"Village Roadshow Pictures, Section Eight, Spring Creek Productions, Warner Bros."
actor,Christopher McDonald,75,Dimension Films
actress,Mary McDonnell,113,"Pandora Cinema, Twentieth Century Fox Film Corporation, Flower Films, Adam Fields Productions"
actress,Natascha McElhone,99,"Twentieth Century Fox Film Corporation, Lightstorm Entertainment"
actor,John C. McGinley,84,"Revolution Studios, Happy Madison Productions"
actor,John C. McGinley,90,"Konrad Pictures, Columbia Pictures Corporation"
actor,Patrick McGoohan,95,"Walt Disney Pictures, Walt Disney Feature Animation"
director,John McTiernan,98,"Intermedia Films, Krane Entertainment"
actor,Meat Loaf,95,Boll KG
actor,Dale Midkiff,86,Lions Gate Films
actor,Jonny Lee Miller,93,"Paramount Pictures, Lakeshore Entertainment, MTV Films, Colossal Pictures, Valhalla Motion Pictures, MTV Productions"
actor,Jay Mohr,95,"Columbia Pictures, Revolution Studios, Cube Vision"
actor,Jay Mohr,109,"Fox Searchlight Pictures, Regency Enterprises, Dune Entertainment III, Emmett/Furla Films"
actress,Gretchen Mol,122,"Tree Line Films, Lionsgate, Relativity Media, Yuma"
actor,Ricardo Montalban,84,Dimension Films
actor,Rick Moranis,85,Walt Disney Feature Animation
actor,David Morse,114,Class 5 Films
actress,Kathy Najimy,91,TLA Releasing
actress,Bebe Neuwirth,78,"IFC Productions, InDigEnt (Independent Digital Entertainment), Miramax, Dolly Hall Productions"
director,Mike Newell,117,"Columbia Pictures, Revolution Studios"
actress,Connie Nielsen,141,"Dune Entertainment, Atlas Entertainment, Warner Bros., DC Entertainment, Cruel & Unusual Films, TENCENT PICTURES, Wanda Pictures"
actress,Connie Nielsen,96,"Fox Searchlight Pictures, Catch 23 Entertainment"
actress,Connie Nielsen,94,"Lakeshore Entertainment, Alphaville Films"
actress,Connie Nielsen,98,"Intermedia Films, Krane Entertainment"
actor,Chuck Norris,92,"Nu Image Films, North by Northwest Entertainment, Millennium Films"
actor,Edward Norton,135,"40 Acres & A Mule Filmworks, Touchstone Pictures"
actor,Edward Norton,114,Class 5 Films
editor,Edward Norton,114,Class 5 Films
archive_footage,Kim Novak,66,Moviehead Pictures
actor,Danny Nucci,82,"USA Films, Traveler's Rest Films, USA Cable Network"
actress,Catherine O'Hara,91,"DreamWorks SKG, LivePlanet, Tall Trees Productions"
actress,Catherine O'Hara,83,"Pacific Data Images (PDI), DreamWorks Animation"
actress,Catherine O'Hara,101,"Village Roadshow Pictures, Legendary Pictures, Playtone, Wild Things Productions, Warner Bros."
actress,Catherine O'Hara,86,Shangri-La Entertainment
actress,Catherine O'Hara,91,"Columbia Pictures, Amblin Entertainment, Sony Pictures Animation, Sony Pictures Entertainment, ImageMovers"
actor,Michael O'Keefe,119,"Castle Rock Entertainment, Mirage Enterprises, Section Eight Productions"
actor,Michael O'Keefe,106,Original Film
actress,Miranda Otto,113,"Twentieth Century Fox Film Corporation, Davis Entertainment, Aldrich Group, Optional Pictures"
actress,Miranda Otto,117,"Paramount Pictures, DreamWorks SKG, Cruise/Wagner Productions, Amblin Entertainment"
actress,Joanna Pacula,92,"Nu Image Films, North by Northwest Entertainment, Millennium Films"
actor,Chazz Palminteri,80,"The Weinstein Company, Kanbar Entertainment, Blue Yonder Films"
actor,Joe Pantoliano,103,"Twentieth Century Fox Film Corporation, Regency Enterprises, Epsilon Motion Pictures, New Regency Pictures, Marvel Enterprises"
actor,Joe Pantoliano,147,"Columbia Pictures Corporation, Don Simpson/Jerry Bruckheimer Films"
actor,Joe Pantoliano,85,Rick Lashbrook Films
actress,Anna Paquin,150,"Fox Searchlight Pictures, Scott Rudin Productions, Mirage Enterprises, Gilbert Films"
actress,Anna Paquin,81,"Destination Films, Samuel Goldwyn Films, Sony Pictures International"
actress,Anna Paquin,135,"40 Acres & A Mule Filmworks, Touchstone Pictures"
actress,Anna Paquin,134,"Twentieth Century Fox Film Corporation, Donners' Company, Bad Hat Harry Productions, Marvel Enterprises, XM2 Productions, XF2 Canada Productions"
actor,Michael Paré,95,Boll KG
actor,Robert Patrick,115,"Casey Silver Productions, Beacon Communications, Touchstone Pictures, Beacon Pictures, Fantail Films Inc."
actor,Robert Patrick,96,"Walden Media, Hal Lieberman Company, Lauren Levine Productions Inc."
actor,Robert Patrick,92,"Twentieth Century Fox Film Corporation, Pacific Film and Television Commission, WWE Studios"
actor,Robert Patrick,106,"Columbia Pictures, Wonderland Sound and Vision, Tall Trees Productions, Flower Films (II)"
actor,Robert Patrick,84,"A-Mark Entertainment, FlipZide Pictures, Project 8 Films, Parallel Media, Voodoo Production Services, Lion Share Productions"
actor,Robert Patrick,135,"DreamWorks SKG, Amblin Entertainment, Malpaso Productions, Warner Bros."
actor,Robert Patrick,88,Silverline Pictures
actor,David Paymer,96,"Epsilon Motion Pictures, Franchise Pictures, Escape Artists, Reiner / Greisman Productions"
actor,Guy Pearce,96,"DreamWorks SKG, Warner Bros."
actor,Guy Pearce,90,"The Weinstein Company, L.I.F.T. Production, Holly Wiersma Productions"
actor,Guy Pearce,131,"Spyglass Entertainment, World 2000 Entertainment, Count of Monte Cristo Ltd., Touchstone Pictures"
actress,Amanda Peet,107,"Mile High Productions, Kevin Messick Productions, Touchstone Pictures, Beacon Pictures"
actress,Amanda Peet,128,"Columbia Pictures Corporation, Waverly Films, Warner Bros."
actress,Amanda Peet,98,"Cheyenne Enterprises, Franchise Pictures, MHF Zweite Academy Film, Eclipse Catering, Nine Yards Two Productions, Nine Yards Productions"
actress,Amanda Peet,98,United Artists
actress,Amanda Peet,115,"Twentieth Century Fox Film Corporation, Regency Enterprises, Monarch Pictures, Epsilon Motion Pictures, New Regency Pictures, Manifest Film Company"
actress,Amanda Peet,90,"Village Roadshow Pictures, NPV Entertainment, Columbia Pictures Corporation"
actress,Amanda Peet,128,"Section Eight, Warner Bros., Participant Media, FilmWorks, 4M, MID Foundation"
actress,Amanda Peet,90,"Konrad Pictures, Columbia Pictures Corporation"
actor,Chris Penn,86,"Robert Simonds Productions, Touchstone Pictures"
actor,Chris Penn,97,"New Line Cinema, Contrafilm, Firm Films"
actor,Chris Penn,115,"Castle Rock Entertainment, Warner Bros., Schroeder Hoffman Productions"
actor,Barry Pepper,92,Lawrence Bender Productions
actor,Barry Pepper,135,"40 Acres & A Mule Filmworks, Touchstone Pictures"
actor,Barry Pepper,135,"DreamWorks SKG, Amblin Entertainment, Malpaso Productions, Warner Bros."
actor,Barry Pepper,85,Rick Lashbrook Films
actress,Rosie Perez,132,Columbia Pictures
actress,Elizabeth Perkins,87,"Village Roadshow Pictures, NPV Entertainment, Mad Chance, Zide-Perry Productions, Warner Bros., BenderSpink"
actress,Elizabeth Perkins,89,Showtime Networks
actress,Elizabeth Perkins,110,"DreamWorks, BenderSpink, Parkes+MacDonald Image Nation"
actress,Elizabeth Perkins,98,"Team Todd, Warner Bros., Ubu Productions"
actor,Matthew Perry,98,"Cheyenne Enterprises, Franchise Pictures, MHF Zweite Academy Film, Eclipse Catering, Nine Yards Two Productions, Nine Yards Productions"
actress,Lori Petty,86,Lions Gate Films
actress,Elizabeth Peña,114,Class 5 Films
actress,Elizabeth Peña,94,"Lunacy Unlimited Productions, Blue & Grey Film Ventures"
actress,Elizabeth Peña,103,"IFC Films, The Weinstein Company"
actor,Mekhi Phifer,95,"Dimension Films, Marty Katz Productions, Mojo Films, PK Pictures"
actor,Mekhi Phifer,101,"New Amsterdam Entertainment, Strike Entertainment, Metropolitan Filmexport, Toho-Towa, Cruel and Unusual Films"
actor,Mekhi Phifer,93,"Sidney Kimmel Entertainment, Greenestreet Films, Longfellow Pictures, Bonnie Timmermann Productions"
actor,Mekhi Phifer,110,"Imagine Entertainment, Mikona Productions GmbH & Co. KG"
actor,Mekhi Phifer,94,"Universal Pictures, Marc Platt Productions, NuAmerica Entertainment"
actor,Lou Diamond Phillips,86,Lions Gate Films
actor,Lou Diamond Phillips,116,"Columbia Pictures, Revolution Studios"
actor,Joaquin Phoenix,108,"Scott Rudin Productions, Touchstone Pictures, Blinding Edge Pictures"
actor,Joaquin Phoenix,106,"Kennedy/Marshall Company, The, Touchstone Pictures, Blinding Edge Pictures"
actor,Joaquin Phoenix,115,"Casey Silver Productions, Beacon Communications, Touchstone Pictures, Beacon Pictures, Fantail Films Inc."
actor,Joaquin Phoenix,85,Walt Disney Feature Animation
actress,Summer Phoenix,98,"Fuller Films, Seven Arts Pictures"
actor,Oliver Platt,80,"Kalkaska Productions, IFC Productions"
actor,Christopher Plummer,135,"Imagine Entertainment, DreamWorks SKG, Universal Pictures"
actor,Christopher Plummer,98,"Team Todd, Warner Bros., Ubu Productions"
actor,Christopher Plummer,129,"Imagine Entertainment, Universal Pictures, 40 Acres & A Mule Filmworks"
actor,Christopher Plummer,79,"Focus Films, Starz Animation, Relativity Media, Tim Burton Productions, Arc Productions"
actor,Christopher Plummer,128,"Section Eight, Warner Bros., Participant Media, FilmWorks, 4M, MID Foundation"
actor,Christopher Plummer,99,"Village Roadshow Pictures, Vertigo Entertainment, Sound for Film, Warner Bros."
actor,Christopher Plummer,135,"New Line Cinema, First Foot Films, Sunflower Productions, Sarah Green Film, The Virginia Company LLC"
actor,Christopher Plummer,131,"Walt Disney Pictures, Jerry Bruckheimer Films, Saturn Films, Junction Entertainment"
actor,Sidney Poitier,85,Nasser Entertainment
actor,Sydney Pollack,119,"Castle Rock Entertainment, Mirage Enterprises, Section Eight Productions"
actor,Sydney Pollack,98,Paramount Pictures
actor,Kevin Pollak,91,"Warner Bros., Morgan Creek Productions"
actor,Kevin Pollak,125,"Franchise Pictures, Warner Bros., Morgan Creek Productions"
actor,Kevin Pollak,98,"Cheyenne Enterprises, Franchise Pictures, MHF Zweite Academy Film, Eclipse Catering, Nine Yards Two Productions, Nine Yards Productions"
actress,Sarah Polley,101,"New Amsterdam Entertainment, Strike Entertainment, Metropolitan Filmexport, Toho-Towa, Cruel and Unusual Films"
actress,Teri Polo,115,"DreamWorks SKG, Universal Pictures, Everyman Pictures, Tribeca Productions"
actress,Teri Polo,89,Paramount Pictures
actress,Annie Potts,90,"Capitol Films, Equity Pictures Medienfonds GmbH & Co. KG"
actor,Randy Quaid,76,Walt Disney Pictures
actor,Michael Rapaport,93,"George Street Pictures, Ben's Sister Productions, Release Entertainment, B. Lord Productions, Davis Entertainment Filmworks"
actor,Michael Rapaport,118,"Columbia Pictures Corporation, Overbrook Entertainment"
actor,John Ratzenberger,103,"Walt Disney Pictures, Pixar Animation Studios"
actor,John Ratzenberger,92,"Walt Disney Pictures, Pixar Animation Studios"
actor,Stephen Rea,99,"Village Roadshow Pictures, Dark Castle Entertainment, Warner Bros., Eyetronics, Chime Films"
actress,Lynn Redgrave,85,"Paramount Pictures, Nickelodeon Movies, Paramount Animation"
actor,Judge Reinhold,104,"Walt Disney Pictures, Outlaw Productions, Boxing Cat Films"
actor,Judge Reinhold,83,"Seed Productions (II), Platform Entertainment"
actor,James Remar,109,"Regency Enterprises, Epsilon Motion Pictures, New Regency Pictures, Daybreak"
actor,James Remar,107,"Mikona Productions GmbH & Co. KG, Universal Pictures, Original Film, Ardustry Entertainment"
actor,Jonathan Rhys Meyers,114,"Warner Bros., CJ Entertainment, Southpaw Entertainment"
actress,Kim Richards,116,Paramount Classics
actress,Miranda Richardson,110,"Paramount Pictures, Miramax Films, Scott Rudin Productions"
actress,Natasha Richardson,105,Red Om Films
actor,Chris Rock,116,"Jerry Bruckheimer Films, Touchstone Pictures, Stillking Films"
