tconst,primaryTitle,category,averageRating,employee,runtimeMinutes,ProductionCompanies,profit_ratio
tt0383574,Pirates of the Caribbean: Dead Man's Chest,actor,7.0,Johnny Depp,151,"Walt Disney Pictures, Jerry Bruckheimer Films, Second Mate Productions",4
tt0376136,The Rum Diary,actor,6.0,Johnny Depp,119,"FilmEngine, Infinitum Nihil, GK Films",0
tt0325980,Pirates of the Caribbean: The Curse of the Black Pearl,actor,8.0,Johnny Depp,143,"Walt Disney Pictures, Jerry Bruckheimer Films",3
tt0449088,Pirates of the Caribbean: At World's End,actor,7.0,Johnny Depp,169,"Walt Disney Pictures, Jerry Bruckheimer Films, Second Mate Productions",2
tt0121164,Corpse Bride,actor,7.0,Johnny Depp,77,"Warner Bros., Tim Burton Productions, Laika Entertainment, Patalex Productions",1
tt0363988,Secret Window,actor,7.0,Johnny Depp,96,"Columbia Pictures Corporation, Pariah Entertainment Group, Grand Slam Productions, Mel's Cite du Cinema",1
tt0338751,The Aviator,actor,8.0,Leonardo DiCaprio,170,"Miramax Films, Appian Way, Forward Pass, Cappa Productions, Warner Bros., Initial Entertainment Group (IEG), IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG, Mel's Cite du Cinema",0
tt0264464,Catch Me If You Can,actor,8.0,Leonardo DiCaprio,141,"Kemp Company, Splendid Pictures, Parkes/MacDonald Productions",5
tt0305357,Charlie's Angels: Full Throttle,actress,5.0,Cameron Diaz,106,"Columbia Pictures, Wonderland Sound and Vision, Tall Trees Productions, Flower Films (II)",1
tt0298148,Shrek 2,actress,7.0,Cameron Diaz,93,"DreamWorks SKG, Pacific Data Images (PDI), DreamWorks Animation",5
tt0259711,Vanilla Sky,actress,7.0,Cameron Diaz,136,"Paramount Pictures, Cruise-Wagner Productions, Vinyl Films",1
tt0253867,The Sweetest Thing,actress,5.0,Cameron Diaz,84,Konrad Pictures,0
