tconst,primaryTitle,category,averageRating,employee,runtimeMinutes,ProductionCompanies,profit_ratio
tt0120912,Men in Black II,producer,6.0,Laurie MacDonald,88,"Columbia Pictures, Amblin Entertainment, Columbia Pictures Corporation, Parkes+MacDonald Image Nation",2
tt0120912,Men in Black II,producer,6.0,Walter F. Parkes,88,"Columbia Pictures, Amblin Entertainment, Columbia Pictures Corporation, Parkes+MacDonald Image Nation",2
tt0120912,Men in Black II,production_designer,6.0,Bo Welch,88,"Columbia Pictures, Amblin Entertainment, Columbia Pictures Corporation, Parkes+MacDonald Image Nation",2
tt0120912,Men in Black II,writer,6.0,Barry Fanaro,88,"Columbia Pictures, Amblin Entertainment, Columbia Pictures Corporation, Parkes+MacDonald Image Nation",2
tt0120912,Men in Black II,writer,6.0,Lowell Cunningham,88,"Columbia Pictures, Amblin Entertainment, Columbia Pictures Corporation, Parkes+MacDonald Image Nation",2
tt0120912,Men in Black II,writer,6.0,Robert Gordon,88,"Columbia Pictures, Amblin Entertainment, Columbia Pictures Corporation, Parkes+MacDonald Image Nation",2
tt0121164,Corpse Bride,actor,7.0,Albert Finney,77,"Warner Bros., Tim Burton Productions, Laika Entertainment, Patalex Productions",1
tt0121164,Corpse Bride,actor,7.0,Christopher Lee,77,"Warner Bros., Tim Burton Productions, Laika Entertainment, Patalex Productions",1
tt0121164,Corpse Bride,actor,7.0,Johnny Depp,77,"Warner Bros., Tim Burton Productions, Laika Entertainment, Patalex Productions",1
tt0121164,Corpse Bride,actor,7.0,Michael Gough,77,"Warner Bros., Tim Burton Productions, Laika Entertainment, Patalex Productions",1
tt0121164,Corpse Bride,actor,7.0,Paul Whitehouse,77,"Warner Bros., Tim Burton Productions, Laika Entertainment, Patalex Productions",1
tt0121164,Corpse Bride,actor,7.0,Richard E. Grant,77,"Warner Bros., Tim Burton Productions, Laika Entertainment, Patalex Productions",1
tt0121164,Corpse Bride,actress,7.0,Emily Watson,77,"Warner Bros., Tim Burton Productions, Laika Entertainment, Patalex Productions",1
